doors,fuel,engine_size,weight,car_type
2,gasoline,small,light,sport
4,diesel,large,heavy,family
5,electric,medium,light,city
2,gasoline,small,light,sport
4,gasoline,medium,medium,family
3,gasoline,small,light,city
5,diesel,large,heavy,family
2,gasoline,small,light,sport
4,diesel,medium,heavy,family
5,gasoline,small,light,city
2,gasoline,small,light,sport
2,gasoline,small,light,sport
2,gasoline,medium,light,sport
2,gasoline,small,medium,sport
3,gasoline,small,light,city
3,gasoline,medium,light,city
3,electric,small,light,city
3,electric,medium,light,city
4,diesel,large,heavy,family
4,diesel,large,heavy,family
4,gasoline,medium,medium,family
4,diesel,medium,heavy,family
5,diesel,large,heavy,family
5,diesel,large,heavy,family
5,gasoline,medium,medium,family
5,electric,medium,light,city
5,electric,small,light,city
5,gasoline,small,light,city
2,gasoline,large,light,sport
2,gasoline,medium,medium,sport
2,gasoline,small,light,sport
3,gasoline,small,medium,city
3,electric,medium,medium,city
3,gasoline,medium,light,city
4,diesel,medium,heavy,family
4,gasoline,large,medium,family
4,diesel,large,heavy,family
5,diesel,medium,heavy,family
5,gasoline,medium,medium,family
5,electric,medium,light,city
